"codmunres","ano","nascimentos","partos_na_macro_com_1mais_uti","partos_na_macro_com_4mais_uti","partos_na_macro_sem_1mais_uti","partos_na_macro_sem_4mais_uti","partos_fora_macro_com_1mais_uti","partos_fora_macro_com_4mais_uti","partos_fora_macro_sem_1mais_uti","partos_fora_macro_sem_4mais_uti","partos_na_macro_sem_inf","partos_fora_macro_sem_inf"
130360,2024,0,0,0,0,0,0,0,0,0,0,0
130360,2025,1,0,0,1,1,0,0,0,0,0,0
130370,2023,3,0,0,3,3,0,0,0,0,0,0
130370,2024,6,0,0,3,3,3,3,0,0,0,0
130370,2025,3,0,0,3,3,0,0,0,0,0,0
130380,2023,8,0,0,8,8,0,0,0,0,0,0
130380,2024,14,1,1,11,11,0,0,0,0,2,0
130380,2025,9,0,0,9,9,0,0,0,0,0,0
130390,2023,6,0,0,4,4,2,2,0,0,0,0
130390,2024,2,0,0,0,0,2,2,0,0,0,0
130390,2025,6,0,0,4,4,2,2,0,0,0,0
130395,2023,0,0,0,0,0,0,0,0,0,0,0
130395,2024,2,0,0,1,1,1,1,0,0,0,0
130395,2025,0,0,0,0,0,0,0,0,0,0,0
130400,2023,2,0,0,1,1,1,1,0,0,0,0
130400,2024,2,0,0,1,1,1,1,0,0,0,0
130400,2025,0,0,0,0,0,0,0,0,0,0,0
130406,2023,10,0,0,8,8,2,2,0,0,0,0
130406,2024,21,0,0,15,15,6,6,0,0,0,0
130406,2025,7,0,0,5,5,2,2,0,0,0,0
130410,2023,1,0,0,1,1,0,0,0,0,0,0
130410,2024,5,2,2,3,3,0,0,0,0,0,0
130410,2025,1,1,1,0,0,0,0,0,0,0,0
130420,2023,18,0,0,14,14,4,4,0,0,0,0
130420,2024,24,0,0,18,18,4,4,0,0,2,0
130420,2025,12,0,0,6,6,5,5,0,0,1,0
130423,2023,4,0,0,2,2,2,2,0,0,0,0
130423,2024,6,0,0,4,4,2,2,0,0,0,0
130423,2025,1,0,0,0,0,1,1,0,0,0,0
130426,2023,1,0,0,1,1,0,0,0,0,0,0
130426,2024,3,0,0,2,2,1,1,0,0,0,0
130426,2025,1,0,0,1,1,0,0,0,0,0,0
130430,2023,3,0,0,1,1,2,2,0,0,0,0
130430,2024,4,0,0,4,4,0,0,0,0,0,0
130430,2025,2,0,0,1,1,1,1,0,0,0,0
130440,2023,2,0,0,0,0,2,2,0,0,0,0
130440,2024,2,0,0,0,0,2,2,0,0,0,0
130440,2025,1,0,0,1,1,0,0,0,0,0,0
140002,2023,2,2,2,0,0,0,0,0,0,0,0
140002,2024,0,0,0,0,0,0,0,0,0,0,0
140002,2025,1,1,1,0,0,0,0,0,0,0,0
140005,2023,4,3,3,0,0,0,0,0,0,1,0
140005,2024,3,3,3,0,0,0,0,0,0,0,0
140005,2025,2,2,2,0,0,0,0,0,0,0,0
140010,2023,147,139,139,1,1,3,2,0,1,4,0
140010,2024,113,111,111,1,1,1,1,0,0,0,0
140010,2025,60,57,57,0,0,2,2,0,0,1,0
140015,2023,7,5,5,2,2,0,0,0,0,0,0
140015,2024,2,2,2,0,0,0,0,0,0,0,0
140015,2025,3,3,3,0,0,0,0,0,0,0,0
140017,2023,2,2,2,0,0,0,0,0,0,0,0
140017,2024,2,2,2,0,0,0,0,0,0,0,0
140017,2025,5,5,5,0,0,0,0,0,0,0,0
140020,2023,3,3,3,0,0,0,0,0,0,0,0
140020,2024,0,0,0,0,0,0,0,0,0,0,0
140020,2025,1,1,1,0,0,0,0,0,0,0,0
140023,2023,2,1,1,1,1,0,0,0,0,0,0
140023,2024,4,2,2,2,2,0,0,0,0,0,0
140023,2025,1,1,1,0,0,0,0,0,0,0,0
140028,2023,2,2,2,0,0,0,0,0,0,0,0
140028,2024,2,2,2,0,0,0,0,0,0,0,0
140028,2025,0,0,0,0,0,0,0,0,0,0,0
140030,2023,7,7,7,0,0,0,0,0,0,0,0
140030,2024,3,3,3,0,0,0,0,0,0,0,0
140030,2025,2,2,2,0,0,0,0,0,0,0,0
140040,2023,7,7,7,0,0,0,0,0,0,0,0
140040,2024,9,9,9,0,0,0,0,0,0,0,0
140040,2025,2,2,2,0,0,0,0,0,0,0,0
140045,2023,8,8,8,0,0,0,0,0,0,0,0
140045,2024,6,4,4,2,2,0,0,0,0,0,0
140045,2025,2,2,2,0,0,0,0,0,0,0,0
140047,2023,4,4,4,0,0,0,0,0,0,0,0
140047,2024,10,10,10,0,0,0,0,0,0,0,0
140047,2025,3,1,1,2,2,0,0,0,0,0,0
140050,2023,0,0,0,0,0,0,0,0,0,0,0
