"codmunres","ano","nascidos_condicoes_ameacadoras","nascidos_estabelecimentos_publicos_sih","internacoes_na_macro_1_a_6_dias","internacoes_fora_macro_1_a_6_dias","internacoes_geral_1_a_6_dias","internacoes_na_macro_7_a_27_dias","internacoes_fora_macro_7_a_27_dias","internacoes_geral_7_a_27_dias","internacoes_na_macro_0_dias","internacoes_fora_macro_0_dias","internacoes_geral_0_dias","internacoes_na_macro_geral","internacoes_fora_macro_geral","internacoes_geral_geral","internacoes_fora_macro_0_dias_internado_uti","internacoes_fora_macro_1_a_6_dias_internado_uti","internacoes_fora_macro_7_a_27_dias_internado_uti","internacoes_na_macro_0_dias_internado_uti","internacoes_na_macro_1_a_6_dias_internado_uti","internacoes_na_macro_7_a_27_dias_internado_uti","internacoes_na_macro_geral_internado_uti","internacoes_fora_macro_geral_internado_uti","internacoes_geral_7_a_27_dias_internado_uti","internacoes_geral_1_a_6_dias_internado_uti","internacoes_geral_0_dias_internado_uti","internacoes_geral_geral_internado_uti"
"110015",2015,13,442,4,14,18,4,1,5,0,10,10,8,25,33,4,7,1,0,0,0,0,12,1,7,4,12
"110015",2016,12,442,2,2,4,3,1,4,1,12,13,6,15,21,7,1,0,0,0,0,0,8,0,1,7,8
"110015",2017,11,388,2,8,10,0,2,2,0,14,14,2,24,26,9,5,0,0,0,0,0,14,0,5,9,14
"110015",2018,11,426,5,4,9,3,5,8,1,8,9,9,17,26,4,0,1,0,0,0,0,5,1,0,4,5
"110015",2019,11,396,4,6,10,4,4,8,3,4,7,11,14,25,3,2,0,0,0,0,0,5,0,2,3,5
"110015",2020,11,341,6,2,8,6,5,11,3,7,10,15,14,29,4,1,1,0,0,0,0,6,1,1,4,6
"110015",2021,8,375,7,4,11,9,3,12,1,4,5,17,11,28,1,1,0,0,0,0,0,2,0,1,1,2
"110018",2012,18,188,12,2,14,5,1,6,16,7,23,33,10,43,6,1,0,0,0,0,0,7,0,1,6,7
"110018",2013,7,194,13,2,15,3,1,4,14,5,19,30,8,38,3,0,0,1,0,0,1,3,0,0,4,4
"110018",2014,16,209,12,2,14,10,1,11,9,5,14,31,8,39,2,0,0,0,0,0,0,2,0,0,2,2
"110018",2015,14,238,11,10,21,6,3,9,17,13,30,34,26,60,10,6,0,0,1,0,1,16,0,7,10,17
"110018",2016,12,366,8,7,15,5,2,7,6,14,20,19,23,42,10,1,2,0,0,0,0,13,2,1,10,13
"110018",2017,9,469,15,1,16,8,1,9,13,17,30,36,19,55,10,0,0,1,1,0,2,10,0,1,11,12
"110018",2018,5,394,23,6,29,8,2,10,14,6,20,45,14,59,4,4,0,1,0,0,1,8,0,4,5,9
"110018",2019,9,397,9,5,14,10,1,11,10,4,14,29,10,39,4,4,1,1,0,0,1,9,1,4,5,10
"110018",2020,9,467,12,3,15,7,0,7,13,7,20,32,10,42,4,3,0,1,0,0,1,7,0,3,5,8
"110018",2021,10,369,32,2,34,8,1,9,24,6,30,64,9,73,5,2,0,0,0,0,0,7,0,2,5,7
"110020",2012,188,4882,121,1,122,68,0,68,1093,6,1099,1282,7,1289,3,0,0,308,54,9,371,3,9,54,311,374
"110020",2013,185,6535,156,0,156,101,1,102,1493,3,1496,1750,4,1754,1,0,0,408,72,14,494,1,14,72,409,495
"110020",2014,178,6291,138,1,139,117,2,119,1196,3,1199,1451,6,1457,2,0,2,208,32,11,251,4,13,32,210,255
"110020",2015,196,6431,148,4,152,119,2,121,1395,8,1403,1662,14,1676,5,1,2,206,37,7,250,8,9,38,211,258
"110020",2016,204,6649,170,4,174,93,1,94,1298,5,1303,1561,10,1571,3,3,0,222,43,13,278,6,13,46,225,284
"110020",2017,165,6523,192,1,193,98,2,100,912,3,915,1202,6,1208,1,0,2,211,40,7,258,3,9,40,212,261
"110020",2018,167,6644,422,5,427,112,5,117,911,9,920,1445,19,1464,6,1,3,235,67,12,314,10,15,68,241,324
"110020",2019,190,6062,205,8,213,128,2,130,1285,6,1291,1618,16,1634,3,4,2,217,54,16,287,9,18,58,220,296
"110020",2020,177,5934,154,6,160,75,3,78,1137,10,1147,1366,19,1385,6,1,3,197,49,13,259,10,16,50,203,269
"110020",2021,192,5660,121,3,124,81,2,83,886,15,901,1088,20,1108,3,2,0,230,47,16,293,5,16,49,233,298
"110025",2012,3,144,0,1,1,4,0,4,2,5,7,6,6,12,4,1,0,0,0,0,0,5,0,1,4,5
