"codmunres","ano","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal","nascidos"
"150140",2015,16,10,1,3,0,3,21250
"150140",2016,13,5,0,3,0,1,19250
"150140",2017,19,11,1,3,0,1,19409
"150140",2018,15,9,0,3,2,2,19348
"150140",2019,13,8,0,2,2,0,18587
"150140",2020,12,4,1,1,1,0,16966
"150140",2021,16,7,0,2,1,2,16816
"150140",2022,10,5,0,4,0,0,15865
"150145",2013,2,2,0,1,0,0,269
"150145",2018,2,2,0,1,1,0,296
"150145",2020,1,1,0,1,0,0,309
"150150",2013,1,1,0,0,0,0,1010
"150150",2014,1,0,0,0,0,0,1079
"150150",2015,1,0,0,0,0,0,1008
"150150",2016,1,1,0,0,0,0,950
"150150",2017,1,0,0,0,0,0,1041
"150150",2020,1,0,0,0,0,0,884
"150150",2021,1,1,0,0,0,0,942
"150157",2012,1,1,0,1,0,0,229
"150157",2022,1,1,0,0,0,0,238
"150160",2017,1,1,0,0,0,0,184
"150170",2012,1,0,0,0,0,0,2148
"150170",2013,2,2,0,0,0,1,2191
"150170",2014,3,3,0,2,0,0,2352
"150170",2015,1,0,0,0,0,0,2192
"150170",2016,3,3,0,2,0,0,2126
"150170",2018,2,1,0,0,1,0,2203
"150170",2019,2,0,0,0,0,0,2127
"150170",2021,4,2,0,1,0,0,2155
"150170",2022,3,3,0,1,1,0,1985
"150172",2012,1,1,0,0,0,1,279
"150172",2014,1,1,0,0,0,0,290
"150175",2018,1,1,0,0,1,0,92
"150175",2021,1,1,0,1,0,0,112
"150178",2014,1,1,0,0,1,0,851
"150178",2018,2,2,0,2,0,0,790
"150178",2019,2,2,0,1,0,0,765
"150178",2020,1,0,0,0,0,0,709
"150178",2021,2,1,0,1,0,0,733
"150178",2022,1,1,0,1,0,0,640
"150180",2012,1,1,0,0,1,0,2383
"150180",2013,4,3,1,1,0,0,2660
"150180",2017,3,2,0,0,1,0,2723
"150180",2018,1,0,0,0,0,0,2849
"150180",2019,3,3,0,0,2,0,2772
"150180",2020,1,1,0,0,1,0,2761
"150180",2021,4,2,0,2,0,0,2830
"150180",2022,4,3,0,2,0,0,2663
"150190",2013,1,0,0,0,0,0,498
"150190",2015,2,1,0,0,0,0,482
"150190",2017,2,1,0,0,1,0,473
