"LBE_FETAL","CID"
"Causas de morte mal-definidas","R78"
"Causas de morte mal-definidas","R780"
"Causas de morte mal-definidas","R781"
"Causas de morte mal-definidas","R782"
"Causas de morte mal-definidas","R783"
"Causas de morte mal-definidas","R784"
"Causas de morte mal-definidas","R785"
"Causas de morte mal-definidas","R786"
"Causas de morte mal-definidas","R787"
"Causas de morte mal-definidas","R788"
"Causas de morte mal-definidas","R789"
"Causas de morte mal-definidas","R79"
"Causas de morte mal-definidas","R790"
"Causas de morte mal-definidas","R798"
"Causas de morte mal-definidas","R799"
"Causas de morte mal-definidas","R80"
"Causas de morte mal-definidas","R81"
"Causas de morte mal-definidas","R82"
"Causas de morte mal-definidas","R820"
"Causas de morte mal-definidas","R821"
"Causas de morte mal-definidas","R822"
"Causas de morte mal-definidas","R823"
"Causas de morte mal-definidas","R824"
"Causas de morte mal-definidas","R825"
"Causas de morte mal-definidas","R826"
"Causas de morte mal-definidas","R827"
"Causas de morte mal-definidas","R828"
"Causas de morte mal-definidas","R829"
"Causas de morte mal-definidas","R83"
"Causas de morte mal-definidas","R830"
"Causas de morte mal-definidas","R831"
"Causas de morte mal-definidas","R832"
"Causas de morte mal-definidas","R833"
"Causas de morte mal-definidas","R834"
"Causas de morte mal-definidas","R835"
"Causas de morte mal-definidas","R836"
"Causas de morte mal-definidas","R837"
"Causas de morte mal-definidas","R838"
"Causas de morte mal-definidas","R839"
"Causas de morte mal-definidas","R84"
"Causas de morte mal-definidas","R840"
"Causas de morte mal-definidas","R841"
"Causas de morte mal-definidas","R842"
"Causas de morte mal-definidas","R843"
"Causas de morte mal-definidas","R844"
"Causas de morte mal-definidas","R845"
"Causas de morte mal-definidas","R846"
"Causas de morte mal-definidas","R847"
"Causas de morte mal-definidas","R848"
"Causas de morte mal-definidas","R849"
"Causas de morte mal-definidas","R85"
"Causas de morte mal-definidas","R850"
"Causas de morte mal-definidas","R851"
"Causas de morte mal-definidas","R852"
"Causas de morte mal-definidas","R853"
"Causas de morte mal-definidas","R854"
"Causas de morte mal-definidas","R855"
"Causas de morte mal-definidas","R856"
"Causas de morte mal-definidas","R857"
"Causas de morte mal-definidas","R858"
"Causas de morte mal-definidas","R859"
"Causas de morte mal-definidas","R86"
"Causas de morte mal-definidas","R860"
"Causas de morte mal-definidas","R861"
"Causas de morte mal-definidas","R862"
"Causas de morte mal-definidas","R863"
"Causas de morte mal-definidas","R864"
"Causas de morte mal-definidas","R865"
"Causas de morte mal-definidas","R866"
"Causas de morte mal-definidas","R867"
"Causas de morte mal-definidas","R868"
"Causas de morte mal-definidas","R869"
"Causas de morte mal-definidas","R87"
"Causas de morte mal-definidas","R870"
"Causas de morte mal-definidas","R871"
"Causas de morte mal-definidas","R872"
"Causas de morte mal-definidas","R873"
"Causas de morte mal-definidas","R874"
"Causas de morte mal-definidas","R875"
"Causas de morte mal-definidas","R876"
"Causas de morte mal-definidas","R877"
"Causas de morte mal-definidas","R878"
"Causas de morte mal-definidas","R879"
"Causas de morte mal-definidas","R89"
"Causas de morte mal-definidas","R890"
"Causas de morte mal-definidas","R891"
"Causas de morte mal-definidas","R892"
"Causas de morte mal-definidas","R893"
"Causas de morte mal-definidas","R894"
"Causas de morte mal-definidas","R895"
"Causas de morte mal-definidas","R896"
"Causas de morte mal-definidas","R897"
"Causas de morte mal-definidas","R898"
"Causas de morte mal-definidas","R899"
"Causas de morte mal-definidas","R90"
"Causas de morte mal-definidas","R900"
"Causas de morte mal-definidas","R908"
"Causas de morte mal-definidas","R91"
"Causas de morte mal-definidas","R92"
"Causas de morte mal-definidas","R93"
"Causas de morte mal-definidas","R930"
"Causas de morte mal-definidas","R931"
"Causas de morte mal-definidas","R932"
"Causas de morte mal-definidas","R933"
"Causas de morte mal-definidas","R934"
"Causas de morte mal-definidas","R935"
"Causas de morte mal-definidas","R936"
"Causas de morte mal-definidas","R937"
"Causas de morte mal-definidas","R938"
"Causas de morte mal-definidas","R94"
"Causas de morte mal-definidas","R940"
"Causas de morte mal-definidas","R941"
"Causas de morte mal-definidas","R942"
"Causas de morte mal-definidas","R943"
"Causas de morte mal-definidas","R944"
"Causas de morte mal-definidas","R945"
"Causas de morte mal-definidas","R946"
"Causas de morte mal-definidas","R947"
"Causas de morte mal-definidas","R948"
"Causas de morte mal-definidas","R95"
"Causas de morte mal-definidas","R95"
"Causas de morte mal-definidas","R96"
"Causas de morte mal-definidas","R960"
"Causas de morte mal-definidas","R961"
"Causas de morte mal-definidas","R98"
"Causas de morte mal-definidas","R99"
